Name,Description,Product Type,Status,Modified On,Created On,Product,Enrollment Spots
 ,,,,2026-01-13 12:47pm,2026-01-13 12:43pm,,
Job Placement,Assistance with job placement and employment opportunities.,"Industry Placement,Farm Job",Active,2026-01-13 4:52pm,2026-01-13 12:51pm,,
Settlement Service,Support for settlement and adaptation services.,,Active,2026-01-13 12:51pm,2026-01-13 12:51pm,,
Visa Service,Visa application and processing services.,,Active,2026-01-13 12:51pm,2026-01-13 12:51pm,,
Internship Program,Programs for internship placement and experience.,,Active,2026-01-13 12:51pm,2026-01-13 12:51pm,,
Health Examination Service,Health examination arrangements and support.,,Active,2026-01-13 12:51pm,2026-01-13 12:51pm,,
Insurance Service,Insurance policy guidance and application services.,,Active,2026-01-13 12:51pm,2026-01-13 12:51pm,,
Accommodation Service,Accommodation search and booking support.,,Active,2026-01-13 12:51pm,2026-01-13 12:51pm,,
Homestay Placement,Homestay placement and family matching services.,,Active,2026-01-13 12:51pm,2026-01-13 12:51pm,,
Education Service,Educational program and school placement services.,Education Consulting,Active,2026-01-13 5:14pm,2026-01-13 12:51pm,,
Migration Service,Migration and immigration consulting services.,,Active,2026-01-13 12:51pm,2026-01-13 12:51pm,,
Package Program,,"Short-term Schooling Package,Summer Camp Package,English Camp Package",,2026-04-12 4:01pm,2026-04-12 3:59pm,,